darksalmon,DarkSalmon,#E9967A,233,150,122
lightsalmon,LightSalmon,#FFA07A,255,160,122
snow,Snow,#FFFAFA,255,250,250
lightyellow,LightYellow,#FFFFE0,255,255,224
palegoldenrod,PaleGoldenrod,#EEE8AA,238,232,170
moccasin,Moccasin,#FFE4B5,255,228,181
bisque,Bisque,#FFE4C4,255,228,196
blanchedalmond,BlanchedAlmond,#FFEBCD,255,235,205
navajowhite,NavajoWhite,#FFDEAD,255,222,173
peachpuff,PeachPuff,#FFDAB9,255,218,185
papayawhip,PapayaWhip,#FFEFD5,255,239,213
cornsilk,Cornsilk,#FFF8DC,255,248,220
lemonchiffon,LemonChiffon,#FFFACD,255,250,205
darkslategray,DarkSlateGray,#2F4F4F,47,79,79
darkslateblue,DarkSlateBlue,#483D8B,72,61,139
slategray,SlateGray,#708090,112,128,144
lightslategray,LightSlateGray,#778899,119,136,153
lightsteelblue,LightSteelBlue,#B0C4DE,176,196,222
powderblue,PowderBlue,#B0E0E6,176,224,230
lightblue,LightBlue,#ADD8E6,173,216,230
paleturquoise,PaleTurquoise,#AFEEEE,175,238,238
darkturquoise,DarkTurquoise,#00CED1,0,206,209
darkcyan,DarkCyan,#008B8B,0,139,139
darkorchid,DarkOrchid,#9932CC,153,50,204
darkmagenta,DarkMagenta,#8B008B,139,0,139
darkviolet,DarkViolet,#9400D3,148,0,211
mediumpurple,MediumPurple,#9370DB,147,112,219
mediumorchid,MediumOrchid,#BA55D3,186,85,211
thistle,Thistle,#D8BFD8,216,191,216
fuchsia,Fuchsia,#FF00FF,255,0,255
darkblue,DarkBlue,#00008B,0,0,139
mediumblue,MediumBlue,#0000CD,0,0,205
midnightblue,MidnightBlue,#191970,25,25,112
dimgray,DimGray,#696969,105,105,105
lightgray,LightGray,#D3D3D3,211,211,211
gainsboro,Gainsboro,#DCDCDC,220,220,220
